study	sham_n	sham_est	sham_se	exposed_n	exposed_est	exposed_se	sham_n_rem	exposed_n_rem	log_odds_ratio	lo_se
1	5	-2.397895273	1.477097892	7	-1.466337069	0.905821627	0	1	0.931376369	1.732898159
2	10	-3.044522438	1.447493729	10	-1.84582669	0.87859537	0	1	1.198759237	1.693378966
3	9	-1.734601055	0.885614886	12	-2.036881927	0.868114732	1	1	-0.318828801	1.492533077
4	10	-3.044522438	1.447493729	20	-1.609437912	0.585540044	0	3	1.435084525	1.561038814
5	26	-2.833213344	0.84016805	26	-2.833213344	0.84016805	1	1	0	1.443988691
6	17	-3.555348061	1.434274331	37	-0.482851772	0.33394417	0	14	3.072508112	1.472463544
7	10	-3.044522438	1.447493729	20	0	0.43643578	0	10	3.044522438	1.511705332
8	33	-3.075774981	0.835126276	35	-1.335001067	0.410391341	1	7	2.079441542	1.100164585
9	19	-1.945910149	0.676123404	19	-1.550597412	0.588489886	2	3	0.46624658	0.976743033
10	146	-2.790804162	0.35336564	155	-1.780586169	0.227892697	8	22	1.048371072	0.430094001
11	15	-3.433987204	1.436842416	10	-0.762140052	0.647338875	0	3	2.671870194	1.575970377
12	29	-2.024381764	0.568726766	28	-1.053149915	0.424081314	3	7	1.060910421	0.750195689
13	98	-2.833213344	0.438763454	92	-1.773067336	0.29436829	5	13	1.11874166	0.547840966
14	20	-2.564949357	0.847318546	22	-2.662587827	0.844498842	1	1	-0.099820335	1.447777056
15	12	-2.036881927	0.868114732	23	-0.422856851	0.417407086	1	9	1.956001913	1.128665979
